+ mkdir -p /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs
I: Validating libapt-pkg4.16 1.0.9.10ubuntu6
I: Retrieving libattr1 1:2.4.47-2
I: Validating libattr1 1:2.4.47-2
I: Retrieving libaudit-common 1:2.4.2-1ubuntu1
I: Validating libaudit-common 1:2.4.2-1ubuntu1
I: Retrieving libaudit1 1:2.4.2-1ubuntu1
I: Validating libaudit1 1:2.4.2-1ubuntu1
I: Retrieving libblkid1 2.26.2-6ubuntu3
I: Validating libblkid1 2.26.2-6ubuntu3
I: Retrieving libbz2-1.0 1.0.6-8
I: Validating libbz2-1.0 1.0.6-8
I: Retrieving libc-bin 2.21-0ubuntu4
I: Validating libc-bin 2.21-0ubuntu4
I: Retrieving libc6 2.21-0ubuntu4
I: Validating libc6 2.21-0ubuntu4
I: Retrieving libcap2 1:2.24-9
I: Validating libcap2 1:2.24-9
I: Retrieving libcap2-bin 1:2.24-9
I: Validating libcap2-bin 1:2.24-9
I: Retrieving libcomerr2 1.42.12-1ubuntu2
I: Validating libcomerr2 1.42.12-1ubuntu2
I: Retrieving libcryptsetup4 2:1.6.6-5ubuntu1
I: Validating libcryptsetup4 2:1.6.6-5ubuntu1
I: Retrieving libdb5.3 5.3.28-9
I: Validating libdb5.3 5.3.28-9
I: Retrieving libdebconfclient0 0.192ubuntu1
I: Validating libdebconfclient0 0.192ubuntu1
I: Retrieving libdevmapper1.02.1 2:1.02.99-1ubuntu1
I: Validating libdevmapper1.02.1 2:1.02.99-1ubuntu1
I: Retrieving libfdisk1 2.26.2-6ubuntu3
I: Validating libfdisk1 2.26.2-6ubuntu3
I: Retrieving libgcc1 1:5.2.1-15ubuntu1
I: Validating libgcc1 1:5.2.1-15ubuntu1
I: Retrieving libgcrypt20 1.6.3-2ubuntu1
I: Validating libgcrypt20 1.6.3-2ubuntu1
I: Retrieving libgpg-error0 1.19-2
I: Validating libgpg-error0 1.19-2
I: Retrieving libkmod2 18-3ubuntu1
I: Validating libkmod2 18-3ubuntu1
I: Retrieving liblzma5 5.1.1alpha+20120614-2ubuntu2
I: Validating liblzma5 5.1.1alpha+20120614-2ubuntu2
I: Retrieving libmount1 2.26.2-6ubuntu3
I: Validating libmount1 2.26.2-6ubuntu3
I: Retrieving libncurses5 5.9+20150516-2ubuntu1
I: Validating libncurses5 5.9+20150516-2ubuntu1
I: Retrieving libncursesw5 5.9+20150516-2ubuntu1
I: Validating libncursesw5 5.9+20150516-2ubuntu1
I: Retrieving libpam-modules 1.1.8-3.1ubuntu3
I: Validating libpam-modules 1.1.8-3.1ubuntu3
I: Retrieving libpam-modules-bin 1.1.8-3.1ubuntu3
I: Validating libpam-modules-bin 1.1.8-3.1ubuntu3
I: Retrieving libpam-runtime 1.1.8-3.1ubuntu3
I: Validating libpam-runtime 1.1.8-3.1ubuntu3
I: Retrieving libpam0g 1.1.8-3.1ubuntu3
I: Validating libpam0g 1.1.8-3.1ubuntu3
I: Retrieving libpcre3 2:8.35-7ubuntu5
I: Validating libpcre3 2:8.35-7ubuntu5
I: Retrieving libprocps3 1:3.3.9-1ubuntu8
I: Validating libprocps3 1:3.3.9-1ubuntu8
I: Retrieving libreadline6 6.3-8ubuntu1
I: Validating libreadline6 6.3-8ubuntu1
I: Retrieving libseccomp2 2.2.1-2ubuntu1
I: Validating libseccomp2 2.2.1-2ubuntu1
I: Retrieving libselinux1 2.3-2
I: Validating libselinux1 2.3-2
I: Retrieving libsemanage-common 2.3-1build1
I: Validating libsemanage-common 2.3-1build1
I: Retrieving libsemanage1 2.3-1build1
I: Validating libsemanage1 2.3-1build1
I: Retrieving libsepol1 2.3-2
I: Validating libsepol1 2.3-2
I: Retrieving libslang2 2.3.0-2ubuntu1
I: Validating libslang2 2.3.0-2ubuntu1
I: Retrieving libsmartcols1 2.26.2-6ubuntu3
I: Validating libsmartcols1 2.26.2-6ubuntu3
I: Retrieving libss2 1.42.12-1ubuntu2
I: Validating libss2 1.42.12-1ubuntu2
I: Retrieving libstdc++6 5.2.1-15ubuntu1
I: Validating libstdc++6 5.2.1-15ubuntu1
I: Retrieving libsystemd0 224-1ubuntu3
I: Validating libsystemd0 224-1ubuntu3
I: Retrieving libtinfo5 5.9+20150516-2ubuntu1
I: Validating libtinfo5 5.9+20150516-2ubuntu1
I: Retrieving libudev1 224-1ubuntu3
I: Validating libudev1 224-1ubuntu3
I: Retrieving libusb-0.1-4 2:0.1.12-27
I: Validating libusb-0.1-4 2:0.1.12-27
I: Retrieving libustr-1.0-1 1.0.4-5
I: Validating libustr-1.0-1 1.0.4-5
I: Retrieving libuuid1 2.26.2-6ubuntu3
I: Validating libuuid1 2.26.2-6ubuntu3
I: Retrieving locales 2.13+git20120306-20
I: Validating locales 2.13+git20120306-20
I: Retrieving login 1:4.1.5.1-1.1ubuntu7
I: Validating login 1:4.1.5.1-1.1ubuntu7
I: Retrieving lsb-base 4.1+Debian11ubuntu8
I: Validating lsb-base 4.1+Debian11ubuntu8
I: Retrieving makedev 2.3.1-93ubuntu1
I: Validating makedev 2.3.1-93ubuntu1
I: Retrieving mawk 1.3.3-17ubuntu2
I: Validating mawk 1.3.3-17ubuntu2
I: Retrieving mount 2.26.2-6ubuntu3
I: Validating mount 2.26.2-6ubuntu3
I: Retrieving multiarch-support 2.21-0ubuntu4
I: Validating multiarch-support 2.21-0ubuntu4
I: Retrieving ncurses-base 5.9+20150516-2ubuntu1
I: Validating ncurses-base 5.9+20150516-2ubuntu1
I: Retrieving ncurses-bin 5.9+20150516-2ubuntu1
I: Validating ncurses-bin 5.9+20150516-2ubuntu1
I: Retrieving netbase 5.3
I: Validating netbase 5.3
I: Retrieving passwd 1:4.1.5.1-1.1ubuntu7
I: Validating passwd 1:4.1.5.1-1.1ubuntu7
I: Retrieving perl-base 5.20.2-6
I: Validating perl-base 5.20.2-6
I: Retrieving procps 1:3.3.9-1ubuntu8
I: Validating procps 1:3.3.9-1ubuntu8
I: Retrieving readline-common 6.3-8ubuntu1
I: Validating readline-common 6.3-8ubuntu1
I: Retrieving sed 4.2.2-6.1
I: Validating sed 4.2.2-6.1
I: Retrieving sensible-utils 0.0.9
I: Validating sensible-utils 0.0.9
I: Retrieving systemd 224-1ubuntu3
I: Validating systemd 224-1ubuntu3
I: Retrieving systemd-sysv 224-1ubuntu3
I: Validating systemd-sysv 224-1ubuntu3
I: Retrieving sysv-rc 2.88dsf-59.2ubuntu1
I: Validating sysv-rc 2.88dsf-59.2ubuntu1
I: Retrieving sysvinit-utils 2.88dsf-59.2ubuntu1
I: Validating sysvinit-utils 2.88dsf-59.2ubuntu1
I: Retrieving tar 1.27.1-2
I: Validating tar 1.27.1-2
I: Retrieving tzdata 2015f-1
I: Validating tzdata 2015f-1
I: Retrieving ubuntu-keyring 2012.05.19
I: Validating ubuntu-keyring 2012.05.19
I: Retrieving udev 224-1ubuntu3
I: Validating udev 224-1ubuntu3
I: Retrieving util-linux 2.26.2-6ubuntu3
I: Validating util-linux 2.26.2-6ubuntu3
I: Retrieving zlib1g 1:1.2.8.dfsg-2ubuntu1
I: Validating zlib1g 1:1.2.8.dfsg-2ubuntu1
I: Retrieving inetutils-ping 2:1.9.4-1
I: Validating inetutils-ping 2:1.9.4-1
I: Chosen extractor for .deb packages: dpkg-deb
I: Extracting adduser...
I: Extracting base-files...
I: Extracting base-passwd...
I: Extracting bash...
I: Extracting bsdutils...
I: Extracting coreutils...
I: Extracting dash...
I: Extracting debconf...
I: Extracting debianutils...
I: Extracting diffutils...
I: Extracting dmsetup...
I: Extracting dpkg...
I: Extracting e2fslibs...
I: Extracting e2fsprogs...
I: Extracting findutils...
I: Extracting gcc-5-base...
I: Extracting grep...
I: Extracting gzip...
I: Extracting hostname...
I: Extracting init...
I: Extracting initscripts...
I: Extracting insserv...
I: Extracting libacl1...
I: Extracting libapparmor1...
I: Extracting libattr1...
I: Extracting libaudit-common...
I: Extracting libaudit1...
I: Extracting libblkid1...
I: Extracting libbz2-1.0...
I: Extracting libc-bin...
I: Extracting libc6...
I: Extracting libcap2...
I: Extracting libcap2-bin...
I: Extracting libcomerr2...
I: Extracting libcryptsetup4...
I: Extracting libdb5.3...
I: Extracting libdebconfclient0...
I: Extracting libdevmapper1.02.1...
I: Extracting libfdisk1...
I: Extracting libgcc1...
I: Extracting libgcrypt20...
I: Extracting libgpg-error0...
I: Extracting libkmod2...
I: Extracting liblzma5...
I: Extracting libmount1...
I: Extracting libncurses5...
I: Extracting libncursesw5...
I: Extracting libpam-modules...
I: Extracting libpam-modules-bin...
I: Extracting libpam-runtime...
I: Extracting libpam0g...
I: Extracting libpcre3...
I: Extracting libprocps3...
I: Extracting libseccomp2...
I: Extracting libselinux1...
I: Extracting libsemanage-common...
I: Extracting libsemanage1...
I: Extracting libsepol1...
I: Extracting libslang2...
I: Extracting libsmartcols1...
I: Extracting libss2...
I: Extracting libsystemd0...
I: Extracting libtinfo5...
I: Extracting libudev1...
I: Extracting libustr-1.0-1...
I: Extracting libuuid1...
I: Extracting locales...
I: Extracting login...
I: Extracting lsb-base...
I: Extracting makedev...
I: Extracting mawk...
I: Extracting mount...
I: Extracting multiarch-support...
I: Extracting ncurses-base...
I: Extracting ncurses-bin...
I: Extracting passwd...
I: Extracting perl-base...
I: Extracting procps...
I: Extracting sed...
I: Extracting sensible-utils...
I: Extracting systemd...
I: Extracting systemd-sysv...
I: Extracting sysv-rc...
I: Extracting sysvinit-utils...
I: Extracting tar...
I: Extracting tzdata...
I: Extracting udev...
I: Extracting util-linux...
I: Extracting zlib1g...
I: Installing core packages...
I: Unpacking required packages...
I: Unpacking adduser...
I: Unpacking base-files...
I: Unpacking base-passwd...
I: Unpacking bash...
I: Unpacking bsdutils...
I: Unpacking coreutils...
I: Unpacking dash...
I: Unpacking debconf...
I: Unpacking debianutils...
I: Unpacking diffutils...
I: Unpacking dmsetup...
I: Unpacking dpkg...
I: Unpacking e2fslibs:amd64...
I: Unpacking e2fsprogs...
I: Unpacking findutils...
I: Unpacking gcc-5-base:amd64...
I: Unpacking grep...
I: Unpacking gzip...
I: Unpacking hostname...
I: Unpacking init...
I: Unpacking initscripts...
I: Unpacking insserv...
I: Unpacking libacl1:amd64...
I: Unpacking libapparmor1:amd64...
I: Unpacking libattr1:amd64...
I: Unpacking libaudit-common...
I: Unpacking libaudit1:amd64...
I: Unpacking libblkid1:amd64...
I: Unpacking libbz2-1.0:amd64...
I: Unpacking libc-bin...
I: Unpacking libc6:amd64...
I: Unpacking libcap2:amd64...
I: Unpacking libcap2-bin...
I: Unpacking libcomerr2:amd64...
I: Unpacking libcryptsetup4:amd64...
I: Unpacking libdb5.3:amd64...
I: Unpacking libdebconfclient0:amd64...
I: Unpacking libdevmapper1.02.1:amd64...
I: Unpacking libfdisk1:amd64...
I: Unpacking libgcc1:amd64...
I: Unpacking libgcrypt20:amd64...
I: Unpacking libgpg-error0:amd64...
I: Unpacking libkmod2:amd64...
I: Unpacking liblzma5:amd64...
I: Unpacking libmount1:amd64...
I: Unpacking libncurses5:amd64...
I: Unpacking libncursesw5:amd64...
I: Unpacking libpam-modules:amd64...
I: Unpacking libpam-modules-bin...
I: Unpacking libpam-runtime...
I: Unpacking libpam0g:amd64...
I: Unpacking libpcre3:amd64...
I: Unpacking libprocps3:amd64...
I: Unpacking libseccomp2:amd64...
I: Unpacking libselinux1:amd64...
I: Unpacking libsemanage-common...
I: Unpacking libsemanage1:amd64...
I: Unpacking libsepol1:amd64...
I: Unpacking libslang2:amd64...
I: Unpacking libsmartcols1:amd64...
I: Unpacking libss2:amd64...
I: Unpacking libsystemd0:amd64...
I: Unpacking libtinfo5:amd64...
I: Unpacking libudev1:amd64...
I: Unpacking libustr-1.0-1:amd64...
I: Unpacking libuuid1:amd64...
I: Unpacking locales...
I: Unpacking login...
I: Unpacking lsb-base...
I: Unpacking makedev...
I: Unpacking mawk...
I: Unpacking mount...
I: Unpacking multiarch-support...
I: Unpacking ncurses-base...
I: Unpacking ncurses-bin...
I: Unpacking passwd...
I: Unpacking perl-base...
I: Unpacking procps...
I: Unpacking sed...
I: Unpacking sensible-utils...
I: Unpacking systemd...
I: Unpacking systemd-sysv...
I: Unpacking sysv-rc...
I: Unpacking sysvinit-utils...
I: Unpacking tar...
I: Unpacking tzdata...
I: Unpacking udev...
I: Unpacking util-linux...
I: Unpacking zlib1g:amd64...
I: Configuring required packages...
I: Configuring lsb-base...
I: Configuring sensible-utils...
I: Configuring ncurses-base...
I: Configuring libsemanage-common...
I: Configuring libaudit-common...
I: Configuring gcc-5-base:amd64...
I: Configuring libc6:amd64...
I: Configuring libbz2-1.0:amd64...
I: Configuring libgpg-error0:amd64...
I: Configuring libseccomp2:amd64...
I: Configuring libapparmor1:amd64...
I: Configuring sysvinit-utils...
I: Configuring diffutils...
I: Configuring insserv...
I: Configuring findutils...
I: Configuring locales...
I: Configuring libustr-1.0-1:amd64...
I: Configuring libsmartcols1:amd64...
I: Configuring libaudit1:amd64...
I: Configuring libtinfo5:amd64...
I: Configuring libudev1:amd64...
I: Configuring debianutils...
I: Configuring libgcrypt20:amd64...
I: Configuring libncursesw5:amd64...
I: Configuring hostname...
I: Configuring multiarch-support...
I: Configuring mawk...
I: Configuring libcap2:amd64...
I: Configuring libprocps3:amd64...
I: Configuring libpcre3:amd64...
I: Configuring libkmod2:amd64...
I: Configuring base-files...
I: Configuring libc-bin...
I: Configuring libdebconfclient0:amd64...
I: Configuring libselinux1:amd64...
I: Configuring libcomerr2:amd64...
I: Configuring ncurses-bin...
I: Configuring libslang2:amd64...
I: Configuring libsepol1:amd64...
I: Configuring libgcc1:amd64...
I: Configuring libncurses5:amd64...
I: Configuring libattr1:amd64...
I: Configuring libss2:amd64...
I: Configuring liblzma5:amd64...
I: Configuring base-passwd...
I: Configuring e2fslibs:amd64...
I: Configuring libdb5.3:amd64...
I: Configuring libcap2-bin...
I: Configuring zlib1g:amd64...
I: Configuring libsystemd0:amd64...
I: Configuring libdevmapper1.02.1:amd64...
I: Configuring libsemanage1:amd64...
I: Configuring libacl1:amd64...
I: Configuring makedev...
I: Configuring bsdutils...
I: Configuring coreutils...
I: Configuring tar...
I: Configuring dpkg...
I: Configuring sed...
I: Configuring perl-base...
I: Configuring grep...
I: Configuring debconf...
I: Configuring tzdata...
I: Configuring gzip...
I: Configuring dash...
I: Configuring sysv-rc...
I: Configuring libpam0g:amd64...
I: Configuring libpam-modules-bin...
I: Configuring bash...
I: Configuring libpam-modules:amd64...
I: Configuring libpam-runtime...
I: Configuring passwd...
I: Configuring login...
I: Configuring adduser...
I: Configuring libuuid1:amd64...
I: Configuring libblkid1:amd64...
I: Configuring libmount1:amd64...
I: Configuring libcryptsetup4:amd64...
I: Configuring mount...
I: Configuring libfdisk1:amd64...
I: Configuring initscripts...
I: Configuring util-linux...
I: Configuring e2fsprogs...
I: Configuring procps...
I: Configuring udev...
I: Configuring systemd...
I: Configuring dmsetup...
I: Configuring systemd-sysv...
I: Configuring init...
I: Configuring libc-bin...
I: Unpacking the base system...
I: Unpacking apt...
I: Unpacking gnupg...
I: Unpacking gpgv...
I: Unpacking iproute2...
I: Unpacking libapt-pkg4.16:amd64...
I: Unpacking libreadline6:amd64...
I: Unpacking libstdc++6:amd64...
I: Unpacking libusb-0.1-4:amd64...
I: Unpacking netbase...
I: Unpacking readline-common...
I: Unpacking ubuntu-keyring...
I: Unpacking inetutils-ping...
I: Configuring the base system...
I: Configuring readline-common...
I: Configuring gpgv...
I: Configuring iproute2...
I: Configuring libstdc++6:amd64...
I: Configuring libusb-0.1-4:amd64...
I: Configuring ubuntu-keyring...
I: Configuring libreadline6:amd64...
I: Configuring netbase...
I: Configuring inetutils-ping...
I: Configuring gnupg...
I: Configuring libapt-pkg4.16:amd64...
I: Configuring apt...
I: Configuring libc-bin...
I: Base system installed successfully.
+ echo exit 101 > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/usr/sbin/policy-rc.d'
+ rootfs_chroot dpkg-divert --local --rename --add /sbin/initctl
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /bin/chroot /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs dpkg-divert --local --rename --add /sbin/initctl
Adding 'local diversion of /sbin/initctl to /sbin/initctl.distrib'
+ cp -a /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/usr/sbin/policy-rc.d /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/sbin/initctl
+ sed -i 's/^exit.*/exit 0/' /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/sbin/initctl
+ rootfs_chroot apt-get clean
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /bin/chroot /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs apt-get clean
+ echo force-unsafe-io > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/etc/dpkg/dpkg.cfg.d/docker-apt-speedup'
+ cat > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/etc/apt/apt.conf.d/docker-clean'
+ echo Acquire::Languages 'none' > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/etc/apt/apt.conf.d/docker-no-languages'
+ echo Acquire::GzipIndexes 'true' > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/etc/apt/apt.conf.d/docker-gzip-indexes'
+ echo Apt::AutoRemove::SuggestsImportant 'false' > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/etc/apt/apt.conf.d/docker-autoremove-suggests'
+ sed -i '
					p;
					s/ devel / devel-updates /; p;
					s/ devel-updates / devel-security /
				' /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/etc/apt/sources.list
+ rootfs_chroot sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /bin/chroot /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ apt-get update
Ign http://archive.ubuntu.com devel InRelease
Ign http://archive.ubuntu.com devel-updates InRelease
Ign http://archive.ubuntu.com devel-security InRelease
Get:1 http://archive.ubuntu.com devel Release.gpg [933 B]
Get:2 http://archive.ubuntu.com devel-updates Release.gpg [933 B]
Get:3 http://archive.ubuntu.com devel-security Release.gpg [933 B]
Get:4 http://archive.ubuntu.com devel Release [217 kB]
Get:5 http://archive.ubuntu.com devel-updates Release [63.5 kB]
Get:6 http://archive.ubuntu.com devel-security Release [63.5 kB]
Get:7 http://archive.ubuntu.com devel/main amd64 Packages [1876 kB]
Get:8 http://archive.ubuntu.com devel/universe amd64 Packages [8606 kB]
Get:9 http://archive.ubuntu.com devel-updates/main amd64 Packages [40 B]
Get:10 http://archive.ubuntu.com devel-updates/universe amd64 Packages [40 B]
Get:11 http://archive.ubuntu.com devel-security/main amd64 Packages [40 B]
Get:12 http://archive.ubuntu.com devel-security/universe amd64 Packages [40 B]
Fetched 10.8 MB in 17s (633 kB/s)
Reading package lists...
W: Conflicting distribution: http://archive.ubuntu.com devel Release (expected devel but got wily)
W: Conflicting distribution: http://archive.ubuntu.com devel-updates Release (expected devel-updates but got wily)
W: Conflicting distribution: http://archive.ubuntu.com devel-security Release (expected devel-security but got wily)
+ apt-get dist-upgrade -y
Reading package lists...
Building dependency tree...
0 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
+ '[' -d /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists ']'
+ rm -rf /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel_main_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel_Release /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel_Release.gpg /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-security_main_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-security_Release /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-security_Release.gpg /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-security_universe_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel_universe_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-updates_main_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-updates_Release /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-updates_Release.gpg /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_devel-updates_universe_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/lock /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/partial
+ mkdir /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs/var/lib/apt/lists/partial
+ tar --numeric-owner --create --auto-compress --file /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs.tar.xz --directory /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs '--transform=s,^./,,' .
+ cat > '/home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/Dockerfile'
+ echo 'CMD ["/bin/bash"]'
+ /home/tianon/docker/docker/contrib/mkimage/../nuke-graph-directory.sh /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs

Nuking /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs ...
  (if this is wrong, press Ctrl+C NOW!)

+ sleep 10

+ rm -rf /home/tianon/downloads/docker-brew-ubuntu-debootstrap/devel/rootfs
